Product Name,Image Link,VariantID,Size,Volume Unit,Expert Ratings,Stock,WS Retail Price,Winemaker Name,Vintage (Year),Country,Region,Wine Type,Wine Grapes,Level to Drink,Vinification Process,Season,Soil Type,Description,Occasion,Body,Acidity,Alcohol,Fruitiness,Minerality,Sweetness / Dry
Barone Ricasoli Brolio Riserva ChiantiClassico DOCG 1969,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67320837257506d26ea2a547Barone20Ricasoli20Brolio20Riserva20Chianti20Classico20DOCG201969.png,354683,750ml,ml,(RP: 92; WS: 94),10,459,Barone Ricasoli,1969,Italy,Tuscany,Red,Sangiovese,Drink now.,"/ Aged in large oak casks for 3-4 years, followed by extended bottle aging.","Autumn, Winter",Soil Type: Clay-Limestone,"A classic, full-bodied Chianti with rich fruit flavors, medium acidity, and a dry finish, showcasing the best of Tuscanys Sangiovese grape.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Barone Ricasoli Chianti Riserva 1969,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/673207748570af8dd7bb7e3fBarone20Ricasoli20Brolio20Riserva20Chianti20Classico20DOCG201969.jpg,354685,750ml,ml,RP: 92; WS: 90,10,599,Barone Ricasoli,1969,Italy,Tuscany,Red,Sangiovese,/ Drink now.,"/ Aged in large oak casks for 3-4 years, followed by extended bottle aging.","Autumn, Winter",Soil Type: Clay-Limestone,"A classic, full-bodied Chianti Riserva with rich fruit flavors, medium acidity, and a dry finish, showcasing the best of Tuscanys Sangiovese grape.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Bersano Barolo 1978,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67320837c0514bb1b0f01d1bBersano20Barolo201978.png,354687,750ml,ml,(RP: 92; WS: 90),10,699,Bersano,1978,Italy,Piedmont,Red,Nebbiolo,/ Drink now or within 2 years.,"/ Aged for 4-5 years in large oak casks, followed by extended bottle aging.","Autumn, Winter",Soil Type: Clay-Limestone,"Rich, full-bodied Barolo with intense fruit flavors, hints of leather and tobacco, and a long, velvety finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Bertolo Barbaresco Riserva Speciale 1964,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083ae46264bdf92fa889Bertolo20Barbaresco20Riserva20Speciale201964.png,354689,750ml,ml,(RP: 94; WS: 92),10,668,Bertolo,1964,Italy,Piedmont,Red,Nebbiolo,/ Drink now or within 2 years.,"/ Aged for 5 years in large oak casks, followed by 10 years in smaller barriques.","Autumn, Winter",Soil Type: Clay-Limestone,"A classic Barbaresco Riserva from Piedmont, this wine boasts a full-bodied, richly fruity character with medium acidity, balanced by a subtle minerality and a dry finish, showcasing the Nebbiolo grapes signature elegance and complexity.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Billaud Simon Chablis Tête dOr 2021,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e8456701bbd0f3677bBillaud20Simon20Chablis20TeCC82te20d27Or202021.png,354691,750ml,ml,(RP: 92; WS: 90),10,338,Billaud Simon,2021,France,Chablis,White,Chardonnay,/ Drink within 5 years.,/ Aged in stainless steel with partial oak aging for 12 months.,"Spring, Summer",Soil Type: Limestone,"A crisp and refreshing Chardonnay with a medium body, showcasing fresh fruit flavors and a hint of minerality, balanced by high acidity and a dry finish.",Occasion: Celebration,Medium,High,12.5,Fresh,High,Dry
Blank Canvas Anandale Farm Riesling 2023,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1f35f170ad56939d8a4Blank20Canvas20Anandale20Farm20Riesling202023.pngg,354693,750ml,ml,(RP: 92; WS: 90),10,248,Blank Canvas,2023,New Zealand,Marlborough,White,Riesling,/ Drink within 5 years.,/ Aged in stainless steel with partial oak.,"spring, summer",Soil Type: Gravel,"A crisp and refreshing Riesling with a medium body, showcasing fresh fruit flavors, a hint of minerality, and a balanced off-dry sweetness, all tied together with a zesty high acidity.",Occasion: Casual,Medium,High,12.5,Fresh,Medium,Off-dry
Blank Canvas Anthem Vineyard Pinot Noir 2019,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e96684bfa6b30ad947Blank20Canvas20Anthem20Vineyard20Pinot20Noir202019.png,354695,750ml,ml,(RP: 92; WS: 90),10,355,Blank Canvas,2019,New Zealand,Central Otago,Red,Pinot Noir,/ Drink within 5-7 years.,/ Aged in French oak barrels for 10 months with 20 new oak.,"spring, summer",Soil Type: Gravel,"A delicate and crisp Pinot Noir with a light body, showcasing fresh fruit flavors and a hint of minerality, balanced by high acidity and a dry finish.",/ Occasion: Celebration,Light,High,13.5,Fresh,Medium,Dry
Blank Canvas Wines Settlement Vineyard Pinot Noir Marlborough 2020,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e74b01a8e2f00d57aaBlank20Canvas20Wines20Settlement20Vineyard20Pinot20Noir20Marlborough202020.png,354697,750ml,ml,RP: 92; WS: 90,10,355,Blank Canvas,2020,New Zealand,Central Otago,Red,Pinot Noir,/ Drink within 5-7 years.,/ Aged in French oak barrels for 10 months with 20 new oak.,"spring, summer, autumn",Soil Type: Clay,"A delicate and refreshing Pinot Noir with a light body, showcasing fresh fruit flavors and a hint of minerality, balanced by medium acidity and a dry finish.",Occasion: Celebration,Light,Medium,13.5,Fresh,Medium,Dry
Bollinger PN AYC18 2018,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734e1e7ea5bf88a407e96a0Bollinger20PN20AYC18202018.png,354699,750ml,ml,(RP: 92; WS: 94),10,828,Bollinger,2018,France,Champagne,Red,Chardonnay,/ Drink within 5 years.,"/ Aged for a minimum of 3 years in Bollingers cellars, with a minimum of 12 months in oak barrels.","spring, summer",Soil Type: Limestone,"A crisp and refreshing champagne with a medium body, showcasing fresh fruit flavors, high acidity, and a dry finish.",Occasion: Celebration,Medium,High,12.5,Fresh,Medium,Dry
Borgogno Serio Battista Barolo Riserva del Centenario 1974,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/673208372a8660abb1b7b29bBorgogno20Serio202620Battista20Barolo20Riserva20del20Centenario201974.png,354701,750ml,ml,(RP: 92; WS: 94),10,788,Borgogno Serio Battista,1974,Italy,Piedmont,Red,Nebbiolo,/ Drink now or within 2 years.,"/ Aged for 36 months in large Slavonian oak casks, followed by 10 years of bottle aging.","Autumn, Winter",Soil Type: Clay-Limestone,"A majestic Barolo Riserva with a full-bodied, rich, and complex character, showcasing Nebbiolos signature traits of dark fruit, leather, and spice, balanced by medium acidity and a subtle mineral undertone, culminating in a dry, lingering finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Brezza Barolo 1978,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083c338db028baa8c958Brezza20Barolo201978.png,354703,750ml,ml,RP: 92; WS: 90,10,699,Brezza,1978,Italy,Piedmont,Red,Nebbiolo,/ Drink within 5 years.,"/ Aged in large oak casks for a minimum of 3 years, followed by extended bottle aging.","Autumn, Winter",Soil Type: Clay-Limestone,"A rich, full-bodied Barolo with a velvety texture, showcasing Nebbiolos signature complexity. Expect intense dark fruit flavors, subtle hints of spice, and a long, satisfying finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Brovia Barolo Brea Vigna Ca Mia 2018,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67385ad12aa3b51fcbee2a00Brovia20Barolo20Brea20Vigna20Ca2720Mia202018.png,354705,750ml,ml,RP: 92; WS: 94,10,838,Brovia,2018,Italy,Piedmont,Red,Nebbiolo,Drink within 10 years.,"/ Aged for 24 months in large oak casks, followed by 12 months in bottle.","Autumn, Winter",Soil Type: Clay-Limestone,"A rich and full-bodied Barolo with intense fruit flavors, balanced by medium acidity and a hint of minerality, finishing dry and with a lingering sense of complexity.",/ Occasion: Celebration,Full,Medium,14.5,Rich,Medium,Dry
Brovia Barolo Garblet Suè 2018,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67385ad23c6b445a0002ad73Brovia20Barolo20Garblet20SueCC80202018.png,354707,750ml,ml,(RP: 92; WS: 94),10,838,Brovia,2018,Italy,Piedmont,Red,Nebbiolo,/ Drink within 10 years.,/ Aged in French oak barrels for 24 months.,"Autumn, Winter",Soil Type: Clay-Limestone,"A rich and full-bodied Barolo with a velvety texture, showcasing Nebbiolos signature flavors of dark cherry, plum, and blackberry, complemented by hints of leather, tobacco, and subtle spices, with a long, lingering finish.",Occasion: Celebration,Full,Medium,14.5,Rich,Medium,Dry
"Bruno Desaunay-Bissey, Vosne-Romanee 1993",https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67386df83c6b445a000e0d38Bruno20Desaunay-Bissey2C20Vosne-Romanee.png,354709,750ml,ml,RP: 92; WS: 90,10,698,Bruno Desaunay-Bissey,1993,France,Cote de Nuits,Red,Pinot Noir,/ Drink within 5 years.,/ Aged in French oak barrels for 12-18 months with regular racking and fining.,"Autumn, Winter",Soil Type: Limestone,"A rich and complex Pinot Noir with a medium body, showcasing flavors of dark cherry and blackberry, complemented by subtle hints of earthy minerality and a dry, lingering finish.",Occasion: Celebration,Medium,Medium,13.5,Rich,Medium,Dry
Cantina del Glicine Barbaresco Riserva Speciale Vigna del Marcorino 1985,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/673462405404f4a4d3ca2f21Cantina20del20Glicine20Barbaresco20Riserva20Speciale20Vigna20del20Marcorino201985.png,354711,750ml,ml,RP: 92; WS: 90,10,689,Cantina del Glicine,1985,Italy,Piedmont,Red,Nebbiolo,Drink within 10 years.,"/ Aged for 5 years in large oak casks, followed by 10 years of bottle aging.","Autumn, Winter",Soil Type: Clay-Limestone,"A rich and full-bodied Barbaresco Riserva with a deep, velvety texture, showcasing Nebbiolos signature complexity. Expect a harmonious balance of rich, dark fruit flavors, subtle hints of spice, and a long, satisfying finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Cantina Vignaioli Barbaresco 1974,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67320838ba95d91b9196615eCantina20Vignaioli20Barbaresco201974.png,354713,750ml,ml,(RP: 92; WS: 90),10,758,Cantina Vignaioli,1974,Italy,Piedmont,Red,Nebbiolo,/ Drink now.,"/ Aged in large oak casks for a minimum of 4 years, with further refinement in bottle for at least 2 years.","Autumn, Winter",Soil Type: Clay-Limestone,"A classic Barbaresco from Piedmont, this 1974 Cantina Vignaioli is a masterclass in Nebbiolos elegance and complexity. Expect rich, dark fruit flavors, subtle hints of leather and tobacco, and a velvety smooth finish, all wrapped up in a robust, full-bodied package.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Cantina Vignaioli Barbaresco 1989,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67320837a8f403004f6e405aCantina20Vignaioli20Barbaresco201989.png,354715,750ml,ml,RP: 92; WS: 90,10,758,Cantina Vignaioli,1989,Italy,Piedmont,Red,Nebbiolo,/ Drink within 5 years.,"/ Aged in large oak casks for 3-4 years, followed by extended bottle aging.","Autumn, Winter",Soil Type: Clay-Limestone,"A classic Barbaresco with a rich, full-bodied texture and a complex array of flavors, including dark fruit, spice, and subtle hints of leather and tobacco, balanced by a medium acidity and a dry, lingering finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Casa del Cervo Brunello di Montalcino DOCG Tuscany 1998,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67320836327d1fb63860632dCasa20del20Cervo20Brunello20di20Montalcino20DOCG20Tuscany201998.png,354717,750ml,ml,RP: 92; WS: 90,10,699,Casa del Cervo,1998,Italy,Tuscany,Red,Sangiovese,/ Drink within 10 years.,"/ Aged for 4 years in large oak casks, followed by 3 years of bottle aging.","Autumn, Winter",Soil Type: Galestro,"A rich and full-bodied wine with a deep, velvety texture, offering a complex array of dark fruit flavors, subtle hints of spice and leather, and a long, satisfying finish.",Occasion: Celebration,Full,Medium,13.5,Rich,Medium,Dry
Castello Banfi Chardonnay della Toscana Forza Italia con foto di politici italiani 1989,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67386df8102f21ca9caf22d5Castello20Banfi20Chardonnay20della20Toscana20Forza20Italia201989.png,354719,750ml,ml,RP: 88; WS: 90,10,289.83,Banfi,1989,Italy,Tuscany,White,Chardonnay,/ Drink within 5 years.,"/ Aged in French oak barriques for 12 months, followed by 6 months in stainless steel.","spring, summer",Soil Type: Clay-Limestone,"A rich and buttery Chardonnay with notes of green apple, pear, and a hint of vanilla, balanced by a crisp acidity and a subtle minerality, finishing off-dry with a lingering freshness.",Occasion: Celebration,Medium,Medium,13.5,Fresh,Medium,Off-dry
Castello di Meleto Chianti Classico 1974,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67386df970c197f9a507cb2dCastello20di20Meleto20Chianti20Classico201974.png,354721,750ml,ml,RP: 88; WS: 90,10,458,Castello di Meleto,1974,Italy,Tuscany,Red,Sangiovese,/ Drink now.,"/ Aged in large oak casks for 3-4 years, followed by extended bottle aging.","autumn, winter",Soil Type: Clay-Limestone,"A classic Tuscan Chianti, this wine boasts rich fruit flavors, balanced by medium acidity and a medium body. The 13.5 alcohol content adds a sense of warmth, while the dry finish and medium minerality provide a sense of structure and complexity.",Occasion: Celebration,Medium,Medium,13.5,Rich,Medium,Dry
Castello Monterinaldi Chianti Classico 1974,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67386df8e460f410acd7acbfCastello20Monterinaldi20Chianti20Classico201974.png,354723,750ml,ml,RP: 88; WS: 90,10,458,Castello Monterinaldi,1974,Italy,Tuscany,Red,Sangiovese,/ Drink now.,"/ Aged in large oak casks for 2-3 years, followed by extended bottle aging.","autumn, winter",Soil Type: Clay-Limestone,"A classic Tuscan Chianti, this wine presents a rich, fruity bouquet with hints of cherry and plum, complemented by a medium-bodied palate with a subtle minerality and a dry, lingering finish.",Occasion: Celebration,Medium,Medium,13.5,Rich,Medium,Dry
Champagne Egly Ouriet Les Premices Brut NV,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67386df8d746e88bae847b1eChampagne20Egly20Ouriet20Les20Premices20Brut20NV.png,354725,750ml,ml,(RP: 92; WS: 93),10,498,Egly Ouriet,Non-Vintage,France,Champagne,Sparkling,Chardonnay,/ Drink now or within 3 years.,"/ Aged for a minimum of 3 years in the cellar, with a blend of 20 reserve wines, and a dosage of 8g/L.","spring, summer",Soil Type: Limestone,"A crisp and refreshing champagne with a delicate balance of fresh fruit flavors and subtle minerality, perfect for celebrations and special occasions.",Occasion: Celebration,Medium,High,12.5,Fresh,Medium,Dry
"Champagne Laurent Lequart Blanc de Blancs, Brut",https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67320836e6bbdfedfb6b0e78Champagne20Laurent20Lequart20Blanc20de20Blancs2C20Brut.png,354727,750ml,ml,RP: 92; WS: 90,10,478,Laurent Lequart,2015,France,Champagne,Sparkling,Chardonnay,/ Drink within 5 years.,"/ Aged for a minimum of 5 years in the cellar, with a slow and gentle second fermentation in the bottle, followed by a remuage and dégorgement process.","summer, spring",Soil Type: Limestone,"This Blanc de Blancs Brut Champagne is a crisp and refreshing wine, with a medium body and high acidity. Fresh fruit flavors dominate the palate, with a hint of minerality and a dry, lingering finish. Perfect for celebrations and special occasions.",Occasion: Celebration,Medium,High,12.5,Fresh,Medium,Dry
"Champagne Laurent Lequart Blanc de Noirs, Brut Nature",https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083c0534c63071d34375Champagne20Laurent20Lequart20Blanc20de20Noirs2C20Brut20Nature.png,354729,750ml,ml,RP: 92; WS: 90,10,478,Laurent Lequart,2015,France,Champagne,Sparkling,Pinot Noir,/ Drink within 5 years.,"/ Aged for 5 years in oak barrels, with a minimum of 12 months sur lie, followed by a further 6 months of bottle aging.","/ summer, autumn",Soil Type: Limestone,"A crisp and refreshing Blanc de Noirs with a medium body, showcasing fresh Pinot Noir fruit flavors, elevated by high acidity and a dry finish, perfect for pairing with delicate seafood dishes or enjoying on its own as an apéritif.",Occasion: Celebration,Medium,High,12.5,Fresh,Medium,Dry
Champagne Laurent Lequart Le Coteau de Lolo,https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6734620346935dda2b9145bcChampagne20Laurent20Lequart20Le20Coteau20de20Lolo.png,354731,750ml,ml,(RP: 92; WS: 93),10,478,Laurent Lequart,2015,France,Champagne,Sparkling,Pinot Meunier,/ Drink within 5 years.,"/ Aged for 5 years in oak barrels, with a minimum of 12 months on the lees.","Spring, Summer",Soil Type: Limestone,"A delicate and elegant champagne with a fresh fruitiness, medium acidity, and a subtle minerality, perfect for pairing with delicate seafood dishes or as an apéritif.",Occasion: Celebration,Medium,Medium,12.5,Fresh,Medium,Off-dry
"Champagne Laurent Lequart Reserve, Extra Brut",https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67320838ac101628a1f7a490Champagne20Laurent20Lequart20Reserve2C20Extra20Brut.png,354733,750ml,ml,RP: 92; WS: 93,10,328,Laurent Lequart,2015,France,Champagne,Sparkling,Pinot Meunier,/ Drink within 5 years.,/ Aged for 5 years in oak barrels with partial malolactic fermentation.,"Spring, Summer",Soil Type: Limestone,"A crisp and refreshing champagne with a delicate balance of fresh fruit flavors and a hint of minerality, finishing dry and clean.",Occasion: Celebration,Medium,High,12.5,Fresh,Medium,Dry
"Champagne Laurent Lequart Reserve, Extra Brut, Magnum",https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67320838ac101628a1f7a490Champagne20Laurent20Lequart20Reserve2C20Extra20Brut.png,354735,1500ml,ml,RP: 92; WS: 94,10,680,Laurent Lequart,2015,France,Champagne,Sparkling,Pinot Meunier,/ Drink within 10 years.,"/ Aged for 5 years in oak barrels with regular remuage and dégorgement, followed by a minimum of 12 months of bottle aging.","spring, summer",Soil Type: Limestone,"A crisp and refreshing champagne with a delicate balance of fresh fruit flavors and a hint of minerality, finishing dry and clean.",Occasion: Celebration,Medium,High,12.5,Fresh,Medium,Dry
"Champagne Laurent Lequart Rose Blanche dAndésyne, Extra Brut",https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083a1637a87ca7b4387fChampagne20Laurent20Lequart20Rose20Blanche20dAndeCC81syne2C20Extra20Brut.png,354737,750ml,ml,RP: 92; WS: 93,10,478,Laurent Lequart,2015,France,Champagne,Sparkling Rosé,Pinot Noir,/ Drink within 5 years.,/ Aged for 5 years in oak barrels with partial malolactic fermentation.,"spring, summer",Soil Type: Limestone,"A delicate and refined rose champagne with a subtle fruitiness, crisp acidity, and a dry, mineral finish.",/ Occasion: Celebration,Medium,High,12.5,Fresh,Medium,Dry
"Champagne Laurent Lequart Vintage 2015, Brut",https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/67320838c9a45c79ba313417Champagne20Laurent20Lequart20Vintage2020152C20Brut.png,354739,750ml,ml,(RP: 92; WS: 94),10,770,Laurent Lequart,2015,France,Champagne,Sparkling,Pinot Meunier,/ Drink within 5 years.,"/ Aged for a minimum of 5 years in the cellar, with a slow and gentle second fermentation in the bottle, followed by remuage and degorgement.","/ summer, autumn",Soil Type: Limestone,"A crisp and refreshing champagne with a delicate balance of fresh fruit flavors and a hint of minerality, perfect for celebrations and special occasions.",/ Occasion: Celebration,Medium,High,12.5,Fresh,Medium,Dry
"Chanson Pere et Fils, La Dominode Savigny- les-Beaune 1er Cru 2014",https://cdn.prod.website-files.com/672cb53a9f8f60aabd3a7754/6732083bba95d91b9196659aChanson20Pere20et20Fils2C20La20Dominode20Savigny-20les-Beaune201er20Cru202014.png,354741,750ml,ml,RP: 92; WS: 90,10,450,Chanson Pere et Fils,2014,France,Cote de Beaune,Red,Pinot Noir,/ Drink within 10 years.,"/ Aged in French oak barrels for 12-14 months, with 20-30 new oak.","spring, autumn",Soil Type: Limestone,"A classic Pinot Noir from the esteemed Cote de Beaune region, this wine offers a delicate balance of fresh fruit flavors, subtle minerality, and a hint of earthy complexity, all wrapped up in a silky, medium-bodied package with a crisp, dry finish.",Occasion: Celebration,Medium,Medium,13.5,Fresh,Medium,Dry
